product_id,product_name,category,sub_category,brand,seller_id,cost_price,selling_price
P00001,Printed T-Shirt,Men Fashion,Jeans,TechNova,S0246,1254.58,1861
P00002,Microfiber Cleaning Set,Home & Kitchen,Cookware,NovaCart,S0034,1273.81,1827
P00003,Regular Fit Jeans,Men Fashion,T-Shirts,NovaCart,S0295,597.95,858
P00004,Decorative Wall Clock,Home & Kitchen,Cleaning,DailyEase,S0295,899.37,1597
P00005,Printed Cotton Kurti,Women Fashion,Kurtis,StyleMint,S0284,270.49,396
P00006,Microfiber Cleaning Set,Home & Kitchen,Cookware,UrbanWeave,S0120,183.0,268
P00007,Matte Liquid Lipstick,Beauty,Skincare,UrbanWeave,S0210,908.85,1591
P00008,Wireless Mouse,Electronics,Smart Devices,NovaCart,S0200,1170.86,1643
P00009,Smart LED Bulb,Electronics,Smart Devices,Trendora,S0225,2782.14,3999
P00010,Bluetooth Speaker,Electronics,Smart Devices,StyleMint,S0293,2083.81,2940
P00011,Smart LED Bulb,Electronics,Mobile Accessories,Trendora,S0027,881.59,1159
P00012,Regular Fit Jeans,Men Fashion,Shirts,DailyEase,S0276,1790.71,2690
P00013,Georgette Saree,Women Fashion ,Sarees,UrbanNest,S0232,1620.29,2365
P00014,Decorative Wall Clock,Home & Kitchen,Kitchen Storage,StyleMint,S0135,1758.24,2577
P00015,Cotton Leggings,Women Fashion,Tops,GlowNest,S0082,684.59,1043
P00016,Kitchen Storage Container Set,Home & Kitchen,Kitchen Storage,Vistara Living,S0016,691.3,945
P00017,Bluetooth Speaker,Electronics,Smart Devices,DailyEase,S0042,2685.49,4642
P00018,Regular Fit Jeans,Men Fashion,Kurtas,DailyEase,S0173,1427.72,2505
P00019,Long Summer Dress,Women Fashion,Kurtis,TechNova,S0228,668.86,882
P00020,Wireless Mouse,Electronics,Audio,HomeAura,S0218,1663.42,2834
P00021,Fast Charging Cable,Electronics,Mobile Accessories,PrimeChoice,S0161,1894.5,3310
P00022,Mobile Phone Stand,Electronics,Audio,UrbanWeave,S0007,3204.65,4055
P00023,Vitamin C Face Serum,Beauty,Skincare,UrbanNest,S0063,990.47,1527
P00024,Smart LED Bulb,Electronics,Mobile Accessories,Trendora,S0273,498.45,902
P00025,Wireless Mouse,Electronics,Computer Accessories,StyleMint,S0162,960.63,1350
P00026,Long Summer Dress,Women Fashion,Sarees,PrimeChoice,S0031,1090.86,1946
P00027,Smart LED Bulb,Electronics,Smart Devices,Zenvia,S0063,821.95,1076
P00028,Matte Liquid Lipstick,Beauty,Haircare,PrimeChoice,S0109,1138.04,1949
P00029,Cotton Cushion Cover Set,Home & Kitchen,Cookware,TechNova,S0272,375.8,484
P00030,Regular Fit Jeans,Men Fashion,Trousers,Vistara Living,S0041,678.29,871
P00031,Hair Repair Oil,Beauty,Personal Care,DailyEase,S0124,392.06,651
P00032,Long Summer Dress,Women Fashion,Kurtis,UrbanNest,S0221,1074.49,1566
P00033,Herbal Shampoo,Beauty,Haircare,HomeAura,S0172,924.71,1512
P00034,Microfiber Cleaning Set,Home & Kitchen,Cookware,StyleMint,S0183,1518.99,2195
P00035,Embroidered Saree,Women Fashion,Kurtis,UrbanWeave,S0022,848.18,1387
P00036,Slim Fit Cotton Shirt,Men Fashion,Kurtas,Zenvia,S0234,1497.53,2230
P00037,Cotton Trousers,Men Fashion,Kurtas,HomeAura,S0194,1619.16,2026
P00038,Floral Anarkali Kurti,Women Fashion,Tops,HomeAura,S0043,836.14,1407
P00039,Matte Liquid Lipstick,Beauty,Haircare,UrbanNest,S0212,1323.13,1822
P00040,Casual Women's Top,Women Fashion,Kurtis,UrbanWeave,S0166,1650.53,2090
P00041,Cotton Trousers,Men Fashion,Jeans,NovaCart,S0210,2260.53,2899
P00042,Printed Cotton Kurti,Women Fashion,Tops,GlowNest,S0287,210.22,352
P00043,Embroidered Saree,Women Fashion,Sarees,TechNova,S0074,593.47,1075
P00044,Cotton Cushion Cover Set,Home & Kitchen,Cookware,UrbanNest,S0261,586.77,749
P00045,Face Wash,Beauty,Haircare,DailyEase,S0271,466.32,703
P00046,Printed T-Shirt,Men Fashion,Kurtas,HomeAura,S0295,909.83,1164
P00047,Bluetooth Speaker,Electronics,Audio,DailyEase,S0002,2801.2,4306
P00048,Cotton Trousers,Men Fashion,T-Shirts,DailyEase,S0143,1849.24,2496
P00049,Wireless Mouse,Electronics,Computer Accessories,UrbanNest,S0180,2119.04,2869
P00050,Cotton Trousers,Men Fashion,Jeans,UrbanNest,S0252,1259.57,2157
P00051,Non Stick Cookware Set,Home & Kitchen,Home Decor,GlowNest,S0218,203.19,286
P00052,Wireless Bluetooth Earbuds,Electronics,Audio,PrimeChoice,S0139,2577.19,3392
P00053,Georgette Saree,Women Fashion,Sarees,UrbanNest,S0268,733.94,1052
